CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
26260,489388,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
44244,126463,5,8,Kanal kupca za cenovnik,,TRUE,1,1
44244,236344,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
44244,493328,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
18259,178663,5,8,Kanal kupca za cenovnik,,TRUE,1,1
18259,212031,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
18259,457128,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
53511,154522,5,8,Kanal kupca za cenovnik,,TRUE,1,1
53511,237134,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
53511,477926,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
25200,517902,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
25200,180674,5,8,Kanal kupca za cenovnik,,TRUE,1,2
25200,240513,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
25200,461013,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
11975,516345,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
11975,124551,5,8,Kanal kupca za cenovnik,,TRUE,1,4
11975,198318,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Da
11975,494118,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
129117,512259,16,40,Kanal prve komunikacije,Dodeljujemo atribut kupcu u zavisnosti od toga kako nas je prvi put kontaktirao,FALSE,0,PG
129117,510939,5,8,Kanal kupca za cenovnik,,TRUE,1,1
129117,510954,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
129117,510963,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
1044,118809,5,8,Kanal kupca za cenovnik,,TRUE,1,2
1044,224681,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
1044,467037,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
3409,157773,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3409,223532,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3409,467394,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
6109,151639,5,8,Kanal kupca za cenovnik,,TRUE,1,2
6109,241619,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
6109,471705,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
2451,133903,5,8,Kanal kupca za cenovnik,,TRUE,1,1
2451,212847,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
2451,488043,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
106960,179121,5,8,Kanal kupca za cenovnik,,TRUE,1,1
106960,240017,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
106960,456041,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
10866,124027,5,8,Kanal kupca za cenovnik,,TRUE,1,1
10866,205277,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
10866,467752,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
24360,515849,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
