CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
11369,241855,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
11369,474362,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
128104,505167,5,8,Kanal kupca za cenovnik,,TRUE,1,1
128104,505194,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
128104,505308,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
117223,245474,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
117223,245487,5,8,Kanal kupca za cenovnik,,TRUE,1,2
117223,491622,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
3082,146299,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3082,221644,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3082,464888,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
10082,131283,5,8,Kanal kupca za cenovnik,,TRUE,1,1
10082,225159,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
10082,481056,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
51763,118309,5,8,Kanal kupca za cenovnik,,TRUE,1,1
51763,235478,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
51763,473194,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
43873,178888,5,8,Kanal kupca za cenovnik,,TRUE,1,1
43873,194084,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
43873,455132,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
39448,519654,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
39448,119585,5,8,Kanal kupca za cenovnik,,TRUE,1,2
39448,205765,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
39448,480928,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
18961,144173,5,8,Kanal kupca za cenovnik,,TRUE,1,1
18961,239178,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
18961,477669,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
119074,174192,5,8,Kanal kupca za cenovnik,,TRUE,1,1
119074,195651,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
119074,481614,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
9795,130085,5,8,Kanal kupca za cenovnik,,TRUE,1,1
9795,232688,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
9795,469619,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
10469,129455,5,8,Kanal kupca za cenovnik,,TRUE,1,1
10469,216634,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
10469,458292,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
10815,147034,5,8,Kanal kupca za cenovnik,,TRUE,1,1
10815,200679,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
10815,501640,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
34551,145058,5,8,Kanal kupca za cenovnik,,TRUE,1,2
34551,210622,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
34551,501882,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
40582,136897,5,8,Kanal kupca za cenovnik,,TRUE,1,1
40582,233894,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
40582,475976,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
1787,122697,5,8,Kanal kupca za cenovnik,,TRUE,1,1
1787,230697,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
1787,479480,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
8329,145290,5,8,Kanal kupca za cenovnik,,TRUE,1,1
8329,216909,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
8329,478405,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
20519,130456,5,8,Kanal kupca za cenovnik,,TRUE,1,1
20519,196167,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
20519,474472,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
17949,150219,5,8,Kanal kupca za cenovnik,,TRUE,1,1
17949,205117,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
17949,478145,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
45637,178770,5,8,Kanal kupca za cenovnik,,TRUE,1,3
45637,224239,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
45637,455325,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
32658,143866,5,8,Kanal kupca za cenovnik,,TRUE,1,1
32658,213240,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
32658,482528,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
52842,181129,5,8,Kanal kupca za cenovnik,,TRUE,1,2
52842,204324,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
52842,488231,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
44990,158920,5,8,Kanal kupca za cenovnik,,TRUE,1,1
44990,230474,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
44990,471587,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
5846,139524,5,8,Kanal kupca za cenovnik,,TRUE,1,1
5846,210488,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
5846,475492,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
23841,137881,5,8,Kanal kupca za cenovnik,,TRUE,1,1
23841,192309,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
23841,484090,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
11199,160221,5,8,Kanal kupca za cenovnik,,TRUE,1,1
11199,211001,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
11199,473379,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
12947,141196,5,8,Kanal kupca za cenovnik,,TRUE,1,1
