CustomerId,Code,Name,Smlturnover,Sean,Priority,ExistTradeAgreement,CentralOffice,BalanceCritical,PaymentCondition,PaymentAvgDays,OldestOpenInvDate,LatestInvDate,LatestPayDate,FirstInvDate,ExistOrsy,ExistOrsy100,TreasuryBill,CustPaymentMethod,GP_,SharedSelfMadeTurnover12m,PlanCurrentYear,TurnoverCurrentYear,FullfilmentCurrentYear,Plan12Months,Turnover12Months,Fullfilment12Months,SalesTargetYtm,ActualSalesYtm,SalesTargetMonth,ActualSalesMonth,TrendActualSalesYtm,TrendArticlesYtm,TrendActualSalesMonth,TrendArticlesMonth,CreditLimit,Balance,BalanceOutOfLimit,Coefficient,Color,BillOfExchange,CustomerOwnTurnover,Potential,RegBalance,UpTo30Days,From31To60Days,From61To90Days,Over90Days,Turnover6Months,TurnoverLastYear,BlueCoatsNo,GrayCoatsNo,TopDivision,Division,TopBranch,Branch,SecBranch,Status,FinStatus,Customer12MonthsPlan,CalculatedNumberOfVisits,CalculatedTimeAtCustomer,BusinessUnitCode,CustomerIsActive,CustPaymentConditionId,DateLastPayment,DateLastInvoice_,CentralOfficeCode,EmployeeId
40012,48990,Customer 4908,M2A,R2,0,FALSE,FALSE,0,30 dana,23.73,06/25/2024 00:00:00,07/11/2024 00:00:00,07/12/2024 00:00:00,07/27/2016 00:00:00,FALSE,FALSE,0,,42.76,,550000,795967.96,144.72,300000,1053453.01,351.15,270600,795967.96,21900,68042.71,438079.6,9,-30436.72,5,540349,400164.28,-9222.8,"3,1",4,FALSE,257309000,3500000,409387.08,0,0,0,-9222.8,727925.25,525413.05,2,15,AUTO,CARGO,CARGO MEHANIČARI,AUTOBUSKE KOMPANIJE,,2,0,300000,1,45,,1,24,10/02/2020 00:00:00,10/23/2020 00:00:00,48990,678
52721,68860,Customer 4909,S1,A1,0,FALSE,FALSE,0,20 dana,0,04/30/2024 00:00:00,04/30/2024 00:00:00,05/16/2024 00:00:00,03/15/2024 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,53.44,,0,9469.2,0,150000,9469.2,6.31,23400,9469.2,11100,0,9469.2,4,0,0,50000,0,0,"3,67",4,FALSE,5601000,1000000,0,0,0,0,0,9469.2,0,1,1,TRADE,TRADE,Trgovina Poljoapoteka,Trgovina Poljoapoteka,,2,0,150000,0,0,,1,20,01/01/1753 00:00:00,01/01/1753 00:00:00,68860,1223
54158,55010,Customer 4910,S1,A2,0,FALSE,FALSE,40026.68,20 dana,6.5,05/15/2023 00:00:00,09/12/2023 00:00:00,11/28/2023 00:00:00,07/04/2019 00:00:00,FALSE,TRUE,0,ZIRO-RACUN,51.57,,200000,0,0,0,4040.82,0,70960,0,0,0,-159775.61,-10,0,-2,2,40026.68,40026.68,"2,3C",5,FALSE,24045000,750000,0,0,0,0,40026.68,0,163816.43,4,2,METAL,ODRŽAVANJE,HRANA/HEMIJA/LEKOVI,"HRANA, PIĆE I LEKOVI - PROIZVODNJA, ODRŽAVANJE",,2,3,0,1,0,,1,20,09/07/2020 00:00:00,10/21/2020 00:00:00,55010,1300
56762,56962,Customer 4911,K0,N2,0,FALSE,FALSE,0,Avans,0,,07/21/2020 00:00:00,,07/21/2020 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,40.66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,4,2,AUTO,CARGO,AGROMEHANIZACIJA,POLJOPRIVREDNA I ŠUMARSKA MEHANIZACIJA,,2,0,0,0,0,,0,46,01/01/1753 00:00:00,07/21/2020 00:00:00,56962,12
23782,42978,Customer 4912,K0,N1,0,FALSE,FALSE,0,0 dana,0,,09/26/2013 00:00:00,09/30/2013 00:00:00,09/26/2013 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,BRISAN,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,ODRŽAVANJE U PROIZVODNJI GRAĐEVINSKOG  MATERIJALA,,2,0,0,0,0,,0,1,09/30/2013 00:00:00,09/26/2013 00:00:00,42978,14
18509,37102,Customer 4913,S2,R2,12,FALSE,FALSE,0,45 dana,103.09,06/11/2024 00:00:00,07/10/2024 00:00:00,06/10/2024 00:00:00,12/24/2012 00:00:00,FALSE,TRUE,0,,55.35,,200000,144922.92,72.46,200000,158896.17,79.45,104545,144922.92,15000,21411.47,20534.08,19,21411.47,10,50000,117407.37,0,"3,1",4,FALSE,16767000,360000,117407.37,0,0,0,0,123511.45,138362.09,4,3,AUTO,AUTO,AUTOCENTAR,NEZAVISNI SERVISI - AUTO CENTRI,,2,1,200000,1,45,,1,32,09/11/2020 00:00:00,10/20/2020 00:00:00,37102,58
119457,61895,Customer 4914,S1,A2,0,FALSE,FALSE,0,20 dana,2.5,06/07/2024 00:00:00,06/07/2024 00:00:00,06/10/2024 00:00:00,12/09/2021 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,40.6,,1,28394.07,2839407,50000,44044.91,88.09,18830.17,28394.07,3950,0,27732.35,11,0,0,100000,0,0,"3,57",4,FALSE,25136000,250000,0,0,0,0,0,28394.07,16312.56,3,1,METAL,INSTALACIJE,ELEKTROINSTALACIJE,"KOMUNIKACIJE, NADZOR I ALARMNI SISTEM",,2,0,50000,0,0,,1,20,01/01/1753 00:00:00,06/07/2024 00:00:00,61895,664
3567,13515,Customer 4915,S1,R2,61,FALSE,FALSE,0,30 dana,17.14,06/20/2024 00:00:00,06/20/2024 00:00:00,06/11/2024 00:00:00,08/05/2016 00:00:00,FALSE,FALSE,0,,37.56,,100000,17421.1,17.42,100000,56402.97,56.4,54500,17421.1,7700,0,-17872.88,-8,0,-2,50000,5141,0,"2,5C",6,FALSE,16685000,200000,5141,0,0,0,0,17421.1,74275.85,5,0,METAL,ODRŽAVANJE,HRANA/HEMIJA/LEKOVI,"PROIZVODNJA I PRERADA KARTONA, ŠTAMPARIJE",,2,0,100000,0,0,,1,24,09/25/2020 00:00:00,03/09/2023 00:00:00,13515,1169
98362,57210,Customer 4916,S1,R1,0,FALSE,FALSE,0,20 dana,40.2,05/31/2024 00:00:00,05/31/2024 00:00:00,06/13/2024 00:00:00,,TRUE,FALSE,0,ZIRO-RACUN,50.14,,100000,35198.76,35.2,100000,73695.47,73.7,59700,35198.76,7700,0,-25265.94,-3,-12573.3,-3,50000,0,0,0,0,FALSE,0,600000,0,0,0,0,0,35198.76,88994.76,4,0,METAL,ODRŽAVANJE,ODRŽAVANJE - METAL,ALATNICE I MAŠINSKA  OBRADA,,2,0,100000,0,0,,1,20,09/28/2020 00:00:00,09/25/2020 00:00:00,57210,1169
127859,31098001,Customer 4917,S2,A4,0,FALSE,FALSE,0,60 dana,0,,,,,FALSE,FALSE,0,,100,,250000,10179.84,4.07,200000,120867.01,60.43,120440,10179.84,15400,0,10179.84,0,0,-1,100000,43258.08,26971.68,,-1,FALSE,0,3500000,16286.4,0,0,0,0,10179.84,141226.69,15,80,METAL,METAL,BRAVARIJA - ČELIK,"PRIKOLICE, POLJ.PRIKLJ.MAŠINE I NADOGRADNJA VOZILA",,2,2,200000,0,0,31098001,1,37,01/01/1753 00:00:00,01/01/1753 00:00:00,31098,1173
123382,62698,Customer 4918,S1,A1,0,FALSE,FALSE,0,20 dana,67.5,11/22/2023 00:00:00,11/23/2023 00:00:00,01/29/2024 00:00:00,11/22/2023 00:00:00,FALSE,FALSE,0,ZIRO-RACUN,33.22,,30000,0,0,30000,18155.45,60.52,14370,0,2250,0,0,0,0,0,50000,0,0,"1,6BC",5,FALSE,317000,370000,0,0,0,0,0,0,18155.45,2,1,AUTO,AUTO,AUTO MEHANIČARI I ELEKTRIČARI,AUTO MEHANIČARI,,2,0,30000,0,0,,1,20,01/01/1753 00:00:00,01/01/1753 00:00:00,62698,618
34569,46507,Customer 4919,K0,N1,0,FALSE,FALSE,0,Avans,0,,06/26/2015 00:00:00,07/14/2015 00:00:00,05/25/2015 00:00:00,FALSE,FALSE,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,FALSE,2411000,0,0,0,0,0,0,0,0,1,1,METAL,METAL,BRAVARIJA - ČELIK,PROIZV. MAŠINA SA POKRETNIM DELOVIMA I PODSKLOP.,,2,0,0,0,0,,0,46,07/14/2015 00:00:00,06/26/2015 00:00:00,46507,19
128746,FVP14,Customer 4920,S2,A1,0,FALSE,FALSE,0,0 dana,6.52,03/29/2024 00:00:00,03/29/2024 00:00:00,03/08/2024 00:00:00,01/03/2024 00:00:00,FALSE,FALSE,0,GOTOVINA,56.8,,0,218873.61,0,0,218873.61,0,0,218873.61,0,0,218873.61,137,0,0,100000,0,0,,-1,FALSE,0,0,0,0,0,0,0,218873.61,0,0,0,Unknown,Unknown,Unknown,Unknown,,2,0,0,0,0,,1,1,01/01/1753 00:00:00,01/01/1753 00:00:00,FVP14,1140
36189,47313,Customer 4921,M2A,O2,0,FALSE,FALSE,3465.26,60 dana,0.09,03/30/2024 00:00:00,07/15/2024 00:00:00,06/17/2024 00:00:00,10/14/2015 00:00:00,TRUE,FALSE,0,,44.81,,1500000,750803.34,50.05,1500000,1168294.62,77.89,852000,750803.34,111000,45185.44,96206.44,21,-44590.84,-38,1307332,56240.46,2017.93,"3,75",4,FALSE,15990000,1800000,54222.53,0,0,3465.26,-1447.33,705617.9,1019890.89,1,0,TRADE,TRADE,Trgovina_Gvožđara,Trgovina_Gvožđara,Trgovina_Farbara,2,2,1500000,5,180,,1,37,10/23/2020 00:00:00,10/23/2020 00:00:00,47313,347
