CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
3082,7806,1.65,5926.16,5924.51,1,Rukavice - Zaštita na radu
3082,7809,0,3929.08,3929.08,0,"Ostali rezni alat (ureznice, n"
3082,7815,0,14722.34,14722.34,0,Radna odeća -Zaštita na radu
3082,7819,0,4191.02,4191.02,0,PUR pene                      
3082,7820,0,3922.95,3922.95,0,MASTER mašine                 
3082,7852,4656.6,4656.6,0,1,ZEBRA Shark tiplovi           
3082,7854,0,10146.14,10146.14,0,Lepak za drvo                 
3082,7856,0,11982.27,11982.27,0,Vijci za drvo                 
3082,7884,10986.72,14712.34,3725.62,1,Silikoni                      
3082,7909,0,7457.25,7457.25,0,Cipele - Zaštita na radu
3082,7992,0,2370.03,2370.03,0,Kompresori
3082,7998,6.37,14067.42,14061.05,2,RUČNI ALAT
3082,8057,0,5961.52,5961.52,0,Pantalone - Zaštita na radu
3082,8062,0,7368.01,7368.01,0,Radna odela - Zaštita na radu
51763,7806,1389.19,5459.34,4070.15,1,Rukavice - Zaštita na radu
51763,7808,0,1764.32,1764.32,0,Burgije za metal              
51763,7815,5976.66,5976.66,0,3,Radna odeća -Zaštita na radu
51763,7820,0,3683.5,3683.5,0,MASTER mašine                 
51763,7831,0,1938.17,1938.17,0,Odmašćivači                   
51763,7859,7224.13,9079.9,1855.77,3,Podmazivači                   
51763,7867,0,2024.42,2024.42,0,DOS lepkovi i Super RTV       
51763,7877,0,1730.32,1730.32,0,Kablovske vezice              
51763,7881,0,2152.47,2152.47,0,"Kablovske stopice, kleme, leml"
51763,7889,643.5,2746.73,2103.23,1,Čišćenje ruku                 
51763,7909,0,17002.18,17002.18,0,Cipele - Zaštita na radu
51763,7998,0,17924.18,17924.18,0,RUČNI ALAT
51763,8057,0,2739.4,2739.4,0,Pantalone - Zaštita na radu
51763,8059,0,1350.53,1350.53,0,Čistač kočnica
51763,8062,0,3657.47,3657.47,0,Radna odela - Zaštita na radu
43873,7806,17091.62,17091.62,0,3,Rukavice - Zaštita na radu
43873,7809,0,15227.71,15227.71,0,"Ostali rezni alat (ureznice, n"
43873,7810,0,12997.43,12997.43,0,Lamelarni brusni diskovi      
43873,7815,0,9524.69,9524.69,0,Radna odeća -Zaštita na radu
43873,7820,0,39500.97,39500.97,0,MASTER mašine                 
43873,7838,6068.4,10274.93,4206.53,1,Papiri za brisanje            
43873,7843,0,73683.22,73683.22,0,Obrada materijala (najlonski d
43873,7853,0,13194.9,13194.9,0,Rezne ploče          
43873,7862,36161.28,70534.49,34373.21,1,Mašinski navoj                
43873,7895,0,12380.79,12380.79,0,Oprema i sprej za zavarivanje 
43873,7897,0,9860.08,9860.08,0,Zavarivanje - Žica za zavariva
43873,7909,0,22229.85,22229.85,0,Cipele - Zaštita na radu
43873,7973,0,9628.46,9628.46,0,RADNE LAMPE I REFLEKTORI
43873,7998,0,65183.26,65183.26,0,RUČNI ALAT
43873,8062,0,21264.77,21264.77,0,Radna odela - Zaštita na radu
39448,7800,77306.05,235879.89,158573.84,22,Sijalice                      
39448,7806,6912.95,102335.28,95422.33,1,Rukavice - Zaštita na radu
39448,7820,0,11819.21,11819.21,0,MASTER mašine                 
39448,7859,666.09,15238.1,14572.01,1,Podmazivači                   
39448,7863,29201.13,76410.04,47208.91,23,Brisači auto stakla           
39448,7871,0,14139.32,14139.32,0,WOW i Klima stanice                        
